Rank,Application ID,Applicant Name,Eligibility Status,Composite Score,S1_Registration_Track_Record_5% Score,S1_Registration_Track_Record_5% Reason,S2_Financial_Position_20% Score,S2_Financial_Position_20% Reason,S3_Market_Demand_Competitiveness_20% Score,S3_Market_Demand_Competitiveness_20% Reason,S4_Business_Proposal_Viability_25% Score,S4_Business_Proposal_Viability_25% Reason,S5_Value_Chain_Alignment_10% Score,S5_Value_Chain_Alignment_10% Reason,S6_Inclusivity_Sustainability_20% Score,S6_Inclusivity_Sustainability_20% Reason,Ineligibility Criterion Failed,Reason
1,Kwale_603,Muafrica Eco Nishati CBO,ELIGIBLE,88.00,5.00,"CBO registered >3 yrs; documented governance (Score 5).",4.00,"Turnover 5–<10M (KES 8.8M in 2024); stable trend (Score 4).",4.00,"Consistent sales; growing channels (Score 4).",5.00,"Clear problem/solution; quantified targets (production increase); detailed plan; co-investment ready (Score 5).",5.00,"Additional VC (Forestry - non-timber/biomass); critical manufacturing node (Score 5).",4.00,"Strong inclusion (40% W, 55% Y); 1-2 green practices (briquettes from waste) (Score 4).",,
2,Kwale_614,Kwale Pavi Farmers Cooperative Society,ELIGIBLE,87.00,5.00,"Cooperative registered >3 yrs; functioning governance (Score 5).",5.00,"Turnover ≥ KES 10M (KES 11.2M in 2024); positive 2-yr trend (Score 5).",4.00,"Consistent B2C/B2B sales; multi-channel (Score 4).",4.00,"Strong plan (expeller acquisition); targets/timelines present (Score 4).",5.00,"Priority VC (Edible Oils); critical processing node (Score 5).",4.00,"Strong inclusion (45% W, 50% Y); 1-2 green practices (agroforestry, waste) (Score 4).",,
3,Kwale_642,kwale coconut farmers' cooperative society limited,ELIGIBLE,84.00,5.00,"Cooperative registered >3 yrs; documented leadership (Score 5).",4.00,"Turnover 5–<10M (KES 9.4M in 2024); stable trend (Score 4).",4.00,"Consistent B2C/B2B sales; basic QA (Score 4).",5.00,"Clear problem/solution; quantified targets; detailed plan (Score 5).",5.00,"Priority VC (Edible Oils); critical processing node (Score 5).",3.00,"Moderate inclusion; some intent on sustainability (coconut nursery) (Score 3).",,
4,Kwale_303,SHIMBA HILLS HANDICRAFT & JUA KALI,ELIGIBLE,83.00,5.00,"Association registered >3 yrs; documented leadership (Score 5).",4.00,"Turnover 5–<10M (KES 6.8M in 2024); stable trend (Score 4).",4.00,"Consistent orders; growing channels (Score 4).",4.00,"Strong plan (equipment upgrade); targets/timelines present (Score 4).",5.00,"Priority VC (Construction); critical fabrication node (Score 5).",4.00,"Strong inclusion (45% W, 55% Y); 1-2 green practices (waste recycling, solar) (Score 4).",,
5,Kwale_559,Kwale Fish Aggregation Group,ELIGIBLE,82.00,4.00,"Group registered 1-3 yrs; documented leadership (Score 4).",4.00,"Turnover 5–<10M (KES 7.5M in 2024); stable trend (Score 4).",4.00,"Consistent B2B/B2C sales; basic QA (Score 4).",4.00,"Strong plan (cold storage/transport); targets/timelines present (Score 4).",5.00,"Additional VC (Blue Economy); critical aggregation/preservation node (Score 5).",4.00,"Strong inclusion (50% Y); 1-2 green practices (sustainable fishing, waste) (Score 4).",,
6,Kwale_627,KWALE YOUTH IN TEXTILE AND DESIGN,ELIGIBLE,82.00,4.00,"Group registered 1-3 yrs; documented leadership (Score 4).",4.00,"Turnover 5–<10M (KES 7.1M in 2024); stable trend (Score 4).",4.00,"Consistent B2C/B2B sales; digital channel (Score 4).",4.00,"Strong plan (equipment/training); targets/timelines present (Score 4).",5.00,"Priority VC (Textiles); critical manufacturing/value addition node (Score 5).",4.00,"Strong inclusion (60% Y, 40% W); 1-2 green practices (waste reduction, local sourcing) (Score 4).",,
7,Kwale_607,KINANGO JUAKALI ASSOCIATION,ELIGIBLE,79.00,5.00,"Association registered >3 yrs; functioning governance (Score 5).",4.00,"Turnover 5–<10M (KES 5.1M in 2024); stable trend (Score 4).",4.00,"Consistent orders; growing channels (Score 4).",4.00,"Strong plan (equipment upgrade); targets/timelines present (Score 4).",5.00,"Priority VC (Construction); critical fabrication node (Score 5).",3.00,"Moderate inclusion; some intent on sustainability (tree planting) (Score 3).",,
8,Kwale_640,LUNGA LUNGA HAND CRAFT JUA KALI,ELIGIBLE,70.00,4.00,"Association registered 1-3 yrs; documented leadership (Score 4).",3.00,"Turnover 1–<5M (KES 3.8M in 2024); stable trend (Score 3).",3.00,"Regular local sales; one channel (Score 3).",4.00,"Strong plan (equipment upgrade); targets/timelines present (Score 4).",5.00,"Priority VC (Construction - furniture/wood); critical fabrication node (Score 5).",3.00,"Moderate inclusion; some intent on sustainability (tree planting) (Score 3).",,
9,Kwale_711,NIVIDZO CBO,ELIGIBLE,69.00,3.00,"CBO registered <1 yr; basic structure (Score 3).",3.00,"Turnover 1–<5M (KES 1.8M in 2024); stable trend (Score 3).",3.00,"Regular local sales; one channel (Score 3).",4.00,"Strong plan (apiary expansion/processing); targets/timelines present (Score 4).",5.00,"Additional VC (Forestry - non-timber products); critical production/processing node (Score 5).",3.00,"Moderate inclusion; some intent on sustainability (tree planting) (Score 3).",,
,Kwale_296,ONE LOVE WASAFI CBO,INELIGIBLE,0.00,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,E3,E4,"Value Chain (Events Management/Equipments) is not a designated Priority/Additional VC (E3). Financial documents were image-based/corrupted (E4)."
