Rank,Application ID,Applicant Name,Eligibility Status,Composite Score,S1_Registration_Track_Record_5% Score,S1_Registration_Track_Record_5% Reason,S2_Financial_Position_20% Score,S2_Financial_Position_20% Reason,S3_Market_Demand_Competitiveness_20% Score,S3_Market_Demand_Competitiveness_20% Reason,S4_Business_Proposal_Viability_25% Score,S4_Business_Proposal_Viability_25% Reason,S5_Value_Chain_Alignment_10% Score,S5_Value_Chain_Alignment_10% Reason,S6_Inclusivity_Sustainability_20% Score,S6_Inclusivity_Sustainability_20% Reason,Ineligibility Criterion Failed,Reason
1,Nandi_201,Nandi Edible Oils Cooperative,ELIGIBLE,100.00,5.00,"Co-operative registered >3 yrs; documented governance (Score 5).",5.00,"Turnover ≥ KES 10M (KES 15.0M in 2024); positive trend (Score 5).",5.00,"Active B2B contracts; multi-channel sales (Score 5).",5.00,"Detailed execution plan; quantified targets; co-investment ready (Score 5).",5.00,"Priority VC (Edible Oils); critical processing node (Score 5).",5.00,"Strong inclusion (50% youth, 50% women); 2+ green practices (Score 5).",,
2,Nandi_600,Nandi Agro-Processor Ltd,ELIGIBLE,92.00,5.00,"Private Co registered >3 yrs; documented leadership (Score 5).",4.00,"Turnover 5–<10M (KES 5.5M in 2024); stable trend (Score 4).",4.00,"Consistent B2C/B2B orders; basic QA (Score 4).",5.00,"Detailed execution plan; quantified targets (Score 5).",5.00,"Priority VC (Edible Oils); critical processing node (Score 5).",5.00,"Strong inclusion (Woman-owned, 60% women staff); 2+ green practices (Score 5).",,
3,Nandi_310,Tinderet Dairy Processors Ltd,ELIGIBLE,82.00,4.00,"Private Co registered 1-3 yrs; documented leadership (Score 4).",4.00,"Turnover 5–<10M (KES 8.5M in 2024); stable trend (Score 4).",4.00,"Consistent B2C/B2B orders; digital channel (Score 4).",4.00,"Strong plan for equipment upgrade; targets present (Score 4).",5.00,"Priority VC (Dairy - Processing); critical value addition node (Score 5).",4.00,"Strong inclusion (50% youth); 1-2 green practices (Score 4).",,
4,Nandi_520,Kapsabet Leather Craftsmen Group,ELIGIBLE,72.00,4.00,"Group registered 1-3 yrs; documented leadership (Score 4).",3.00,"Turnover 1–<5M (KES 2.5M in 2024); stable trend (Score 3).",3.00,"Regular local sales; one channel (Score 3).",4.00,"Strong plan for tools/equipment; targets present (Score 4).",4.00,"Additional VC (Leather); critical manufacturing node (Score 4).",4.00,"Strong inclusion (70% youth); 1-2 green practices (waste reduction) (Score 4).",,
5,Nandi_405,Nandi Block Makers Association,ELIGIBLE,71.00,5.00,"Association registered >3 yrs; documented leadership (Score 5).",3.00,"Turnover 1–<5M (KES 4.0M in 2024); stable trend (Score 3).",3.00,"Regular B2B orders (Score 3).",4.00,"Strong plan for machine acquisition; targets present (Score 4).",5.00,"Priority VC (Construction); critical material node (Score 5).",3.00,"Moderate inclusion; some intent on sustainability (Score 3).",,
6,Nandi_777,Blue Economy Fish Farmers Assoc.,ELIGIBLE,71.00,4.00,"Association registered 1-3 yrs; documented leadership (Score 4).",3.00,"Turnover 1–<5M (KES 1.5M in 2024); stable trend (Score 3).",3.00,"Regular local sales; one channel (Score 3).",3.00,"Direction clear; budget rough (Score 3).",4.00,"Additional VC (Blue Economy); critical production node (Score 4).",5.00,"Strong inclusion (60% women); 2+ green practices (Score 5).",,
7,Nandi_800,Nandi Jua Kali Artisans,ELIGIBLE,70.00,4.00,"Association registered 1-3 yrs; documented leadership (Score 4).",3.00,"Turnover 1–<5M (KES 3.0M in 2024); stable trend (Score 3).",3.00,"Regular local sales; one channel (Score 3).",4.00,"Strong plan for equipment; targets present (Score 4).",5.00,"Priority VC (Construction); critical fabrication node (Score 5).",3.00,"Moderate inclusion; some intent on sustainability (Score 3).",,
,Nandi_901,Nandi General Retailers Group,INELIGIBLE,0.00,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,E3,"Value Chain (General Retail/Services) is not a designated Priority/Additional VC (E3)."
,Nandi_999,Nandi Coffee Growers SACCO,INELIGIBLE,0.00,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,E3,"Value Chain (General Farming/Agriculture - Coffee Farming) is excluded from the Priority VCs (E3)."













