Rank,Application ID,Applicant Name,Eligibility Status,Composite Score,S1_Registration_Track_Record_5% Score,S1_Registration_Track_Record_5% Reason,S2_Financial_Position_20% Score,S2_Financial_Position_20% Reason,S3_Market_Demand_Competitiveness_20% Score,S3_Market_Demand_Competitiveness_20% Reason,S4_Business_Proposal_Viability_25% Score,S4_Business_Proposal_Viability_25% Reason,S5_Value_Chain_Alignment_10% Score,S5_Value_Chain_Alignment_10% Reason,S6_Inclusivity_Sustainability_20% Score,S6_Inclusivity_Sustainability_20% Reason,Ineligibility Criterion Failed,Reason
1,Kitui_201,Mwingi Sand Harvesting Co-operative Society Limited,ELIGIBLE,96.00,5.00,"Cooperative registered >3 yrs (CS/11254) with functioning governance (Score 5).",4.00,"Projected KES 20M+ Net Surplus; KES 100k 2024 Turnover, positive trend (Score 4).",5.00,"Monopoly (sole sand cooperative); clear B2B strategy (Affordable Housing Project) (Score 5).",5.00,"Clear problem/solution (sand value-add/transport); quantified targets (6 lorries, 400 jobs); detailed plan (Score 5).",5.00,"Priority VC (Construction-sand/gravel); fills critical extraction, value-add, and logistics node (Score 5).",5.00,"High women participation (40% leadership, 33% membership); 2+ green practices (NEMA EIAs, tree planting, riverbank rehab) (Score 5).",,
2,Kitui_441,Kitui Forest Products Producers Group,ELIGIBLE,81.00,5.00,"Cooperative registered >3 yrs; documented leadership and operations (Score 5).",4.00,"Turnover 5–<10M (KES 8.2M in 2024); stable trend (Score 4).",4.00,"Consistent sales (B2B furniture makers); basic quality assurance (Score 4).",4.00,"Strong plan (kiln acquisition); targets and timelines present (Score 4).",5.00,"Additional VC (Forestry); fills critical processing/value addition node (timber treatment) (Score 5).",3.00,"Moderate inclusion (40% youth); some intent on sustainability (replanting, waste reduction) (Score 3).",,
3,Kitui_591,Sosye Goat Keepers Group,ELIGIBLE,79.00,5.00,"Group registered >3 yrs; functioning governance (Score 5).",3.00,"Turnover 1–<5M (KES 3.1M in 2024); stable trend (Score 3).",4.00,"Consistent local sales; growing B2C (Score 4).",4.00,"Strong plan (milk plant/processing); quantified targets (Score 4).",5.00,"Priority VC (Dairy - goat milk); fills critical processing/value addition node (Score 5).",3.00,"Moderate inclusion (40% women, 55% youth); some intent on sustainability (hay/fodder) (Score 3).",,
4,Kitui_300,MYINGI MWOVA SACCO LIMITED,ELIGIBLE,77.00,5.00,"SACCO registered >3 yrs; documented leadership (Score 5).",3.00,"Turnover 1–<5M (KES 4.55M in 2024); stable/recovering trend (Score 3).",3.00,"Regular sales (B2C & B2B rentals) (Score 3).",4.00,"Plan to acquire stone crusher/cabro block machine; clear objective; targets present (Score 4).",5.00,"Priority VC (Construction - rental/material production); fills critical material production node (Score 5).",3.00,"Moderate inclusion (40% youth); some green practices (tree planting, gas use) (Score 3).",,
5,Kitui_629,ENZIU SAND HARVESTING SELF HELP GROUP,ELIGIBLE,75.00,5.00,"Self Help Group registered >3 yrs; documented leadership (Score 5).",3.00,"Turnover 1–<5M (KES 250k in 2024); decreasing trend but stable (Score 3).",3.00,"Regular sales to contractors/transporters (B2B & B2C) (Score 3).",4.00,"Clear problem/solution (formalization/equipment); quantified targets (truck, 2,000 trees) (Score 4).",5.00,"Priority VC (Construction-sand); fills critical extraction/logistics node (Score 5).",3.00,"Moderate inclusion (45% women, 55% youth); some green practices (tree planting, riverbank rehab) (Score 3).",,
6,Kitui_595,Kitui Honey Production Association,ELIGIBLE,72.00,5.00,"Association registered >3 yrs; documented leadership (Score 5).",2.00,"Turnover <1M (KES 950k in 2024); sporadic records (Score 2).",3.00,"Regular B2C sales; local market (Score 3).",4.00,"Strong plan (processing/packaging); quantified targets (increase apiaries/members) (Score 4).",5.00,"Additional VC (Forestry - non-timber products); fills critical processing/value addition node (Score 5).",3.00,"Moderate inclusion (40% women); some intent on sustainability (solar drying, non-toxic preservatives) (Score 3).",,
7,Kitui_593,Kitui Textiles Producers Limited,ELIGIBLE,67.00,3.00,"Private Company registered <1 yr (since 2024); basic structure (Score 3).",3.00,"Turnover 1–<5M (KES 1.5M in 2024); stable trend (Score 3).",3.00,"Regular sales (local B2C & B2B) (Score 3).",3.00,"Direction clear (equipment acquisition); targets generic (Score 3).",5.00,"Priority VC (Textiles); fills critical manufacturing/value addition node (Score 5).",3.00,"Moderate inclusion (50% youth, 40% women); some intent on sustainability (local sourcing) (Score 3).",,
,Kitui_225,Mwingi Charcoal Traders Association,INELIGIBLE,0.00,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,E3,"Charcoal production/trade is not a designated Priority/Additional Value Chain (E3)."
,Kitui_242,Mulango Edible Oils Producers Self Help Group,INELIGIBLE,0.00,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,E4,"Financial documents were not provided/were unreadable 'CamScanner' images (E4)."
,Kitui_368,KITUI AGRO-CHEMICALS AND FARM INPUTS ASSOCIATION,INELIGIBLE,0.00,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,0.00,N/A - Ineligible,E3,"Value Chain (Farm Inputs/Agro-Chemicals Retail) is not a designated Priority/Additional VC (E3)."
