Rank,Application ID,Applicant Name,Eligibility Status,Composite Score,S1_Registration_Track_Record_5% Score,S1_Registration_Track_Record_5% Reason,S2_Financial_Position_20% Score,S2_Financial_Position_20% Reason,S3_Market_Demand_Competitiveness_20% Score,S3_Market_Demand_Competitiveness_20% Reason,S4_Business_Proposal_Viability_25% Score,S4_Business_Proposal_Viability_25% Reason,S5_Value_Chain_Alignment_10% Score,S5_Value_Chain_Alignment_10% Reason,S6_Inclusivity_Sustainability_20% Score,S6_Inclusivity_Sustainability_20% Reason,Ineligibility Criterion Failed,Reason
1,Kwale_YUL6,PLAS-TECH ENERGIES LIMITED,ELIGIBLE,80.00,3.7,Established in 2023 (2 years); Private Company status.,3.7,"2024 Revenue: KES 2,392,671.00; Accounting system: QuickBooks.",5.0,B2B Sales: 40.0%; Market strategy reported.,3.5,Structured expansion plans provided,5.0,Aligned with Blue Economy priority value chain.,3.5,Limited evidence of inclusivity profile.,,
2,Kwale_HV1A,DENUM LIMITED,ELIGIBLE,76.80,3.6,Established in 2023 (2 years); Private Company status.,2.8,"2024 Revenue: KES 680,000.00; Accounting system: None.",5.0,B2B Sales: 77.0%; Market strategy reported.,3.6,Structured expansion plans provided,5.0,Aligned with Construction priority value chain.,3.5,Limited evidence of inclusivity profile.,,
3,Kwale_BN8H,SATAA WOMEN LIMITED,ELIGIBLE,75.30,5.0,Established in 2001 (24 years); Private Company status.,2.3,"2024 Revenue: KES 250,000.00; Accounting system: None.",5.0,B2B Sales: 70.0%; Market strategy reported.,3.5,Structured expansion plans provided,5.0,Aligned with Edible Oils priority value chain.,3.4,Limited evidence of inclusivity profile.,,
4,Kwale_GGUX,Angelben Investments,ELIGIBLE,75.20,3.8,Established in 2021 (4 years); MSME Association status.,3.3,"2024 Revenue: KES 1,000,000.00; Accounting system: None.",4.5,B2B Sales: 30.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Textiles priority value chain.,3.3,Limited evidence of inclusivity profile.,,
5,Kwale_RCBH,kwale coconut farmers' cooperative society limited,ELIGIBLE,74.70,4.1,Established in 2021 (4 years); Cooperative status.,2.7,"2024 Revenue: KES 25,000.00; Accounting system: Other.",5.0,B2B Sales: 85.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Edible Oils priority value chain.,3.2,Limited evidence of inclusivity profile.,,
6,Kwale_RPJ3,KWALE STUDENTS MSE,ELIGIBLE,74.40,3.8,Established in 2022 (3 years); MSME Association status.,2.7,"2024 Revenue: KES 100,000.00; Accounting system: Other.",5.0,B2B Sales: 45.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Textiles priority value chain.,3.2,Limited evidence of inclusivity profile.,,
7,Kwale_ACQB,Kwale Focus Empowerment CBO,ELIGIBLE,73.10,4.4,Established in 2020 (5 years); Other status.,4.2,"2024 Revenue: KES 3,300,000.00; Accounting system: Other.",2.6,B2B Sales: 0.0%; Market strategy reported.,3.5,Structured expansion plans provided,5.0,Aligned with Blue Economy priority value chain.,3.5,Limited evidence of inclusivity profile.,,
8,Kwale_CIFC,Kawili Juakali Association,ELIGIBLE,69.90,3.3,Established in 2023 (2 years); MSME Association status.,2.8,"2024 Revenue: KES 800,000.00; Accounting system: None.",3.9,B2B Sales: 20.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Construction priority value chain.,3.2,Limited evidence of inclusivity profile.,,
9,Kwale_AOAP,LEAFDE LIMITED,ELIGIBLE,68.90,4.1,Established in 2021 (4 years); Private Company status.,1.7,2024 Revenue: KES 0.00; Accounting system: QuickBooks.,4.6,B2B Sales: 31.0%; Market strategy reported.,3.6,Structured expansion plans provided,3.8,Aligned with other priority value chain.,3.5,Limited evidence of inclusivity profile.,,
10,Kwale_91TF,KWALE TOWNSHIP JUAKALI ASSOCIATION,ELIGIBLE,66.70,5.0,Established in 2000 (25 years); MSME Association status.,2.7,"2024 Revenue: KES 250,000.00; Accounting system: QuickBooks.",3.6,B2B Sales: 5.0%; Market strategy reported.,3.7,Structured expansion plans provided,5.0,Aligned with Construction priority value chain.,2.0,Limited evidence of inclusivity profile.,,
11,Kwale_U0EP,Muafrika Green Initiatives CBO,ELIGIBLE,65.40,4.3,Established in 2020 (5 years); Other status.,2.3,"2024 Revenue: KES 175,000.00; Accounting system: None.",2.6,B2B Sales: 0.0%; Market strategy reported.,3.5,Structured expansion plans provided,5.0,Aligned with Edible Oils priority value chain.,3.5,Limited evidence of inclusivity profile.,,
12,Kwale_UZUQ,Dilaty Pwani Limited,ELIGIBLE,62.20,2.2,Established in 2025 (0 years); Private Company status.,1.7,2024 Revenue: KES 0.00; Accounting system: Other.,5.0,B2B Sales: 50.0%; Market strategy reported.,3.6,Structured expansion plans provided,3.8,Aligned with other priority value chain.,1.9,Limited evidence of inclusivity profile.,,
13,Kwale_NCLY,BIDII JUAKALI,ELIGIBLE,58.80,1.8,Established in 2024 (1 years); MSME Association status.,2.3,"2024 Revenue: KES 150,000.00; Accounting system: None.",3.5,B2B Sales: 5.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Construction priority value chain.,1.7,Limited evidence of inclusivity profile.,,
14,Kwale_IEWC,Farm Lift Agriventures Ltd,ELIGIBLE,54.60,2.1,Established in 2025 (0 years); Private Company status.,1.7,2024 Revenue: KES 0.00; Accounting system: QuickBooks.,2.4,B2B Sales: 0.0%; Market strategy reported.,3.7,Structured expansion plans provided,5.0,Aligned with Blue Economy priority value chain.,1.9,Limited evidence of inclusivity profile.,,
