Rank,Application ID,Applicant Name,Eligibility Status,Composite Score,S1_Registration_Track_Record_5% Score,S1_Registration_Track_Record_5% Reason,S2_Financial_Position_20% Score,S2_Financial_Position_20% Reason,S3_Market_Demand_Competitiveness_20% Score,S3_Market_Demand_Competitiveness_20% Reason,S4_Business_Proposal_Viability_25% Score,S4_Business_Proposal_Viability_25% Reason,S5_Value_Chain_Alignment_10% Score,S5_Value_Chain_Alignment_10% Reason,S6_Inclusivity_Sustainability_20% Score,S6_Inclusivity_Sustainability_20% Reason,Ineligibility Criterion Failed,Reason
1,Bomet_W7XZ,Langmar Enterprises Ltd,ELIGIBLE,88.00,5,Established in 2014 (11 years); MSME Association status.,5,"2024 Revenue: KES 3,000,000.00; Accounting system: None.",5,B2B Sales: 70.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Textiles priority value chain.,5,Woman-owned enterprise,,
2,Bomet_RMCS,Siongiroi Dairy Farmers Cooperative Society LTD,ELIGIBLE,88.00,5,Established in 1996 (29 years); Cooperative status.,5,"2024 Revenue: KES 106,627,605.00; Accounting system: None.",5,B2B Sales: 95.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Dairy priority value chain.,5,Woman-owned enterprise,,
3,Bomet_W7LA,AVOTEG CO-OPERATIVE SOCIETY LIMITED,ELIGIBLE,84.00,1,Established in 2024 (1 years); Cooperative status.,5,"2024 Revenue: KES 1,120,160.00; Accounting system: None.",5,B2B Sales: 60.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Edible Oils priority value chain.,5,Woman-owned enterprise,,
4,Bomet_VEKR,BENAROSHO CONSTRUCTION AND SUPPLIES COMPANY,ELIGIBLE,83.00,4,Established in 2018 (7 years); Private Company status.,5,"2024 Revenue: KES 15,000,000.00; Accounting system: None.",4,B2B Sales: 30.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Construction priority value chain.,5,Woman-owned enterprise,,
5,Bomet_M9P1,KOKICHE DAIRY CO-OPERATIVE SOCIETY LIMITED,ELIGIBLE,80.00,5,Established in 2014 (11 years); Cooperative status.,5,"2024 Revenue: KES 13,738,826.00; Accounting system: None.",3,B2B Sales: 20.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Dairy priority value chain.,5,Woman-owned enterprise,,
6,Bomet_NZZF,BOITO GREEN FARMERS CO-OPERATIVE SOCIETY LIMITED,ELIGIBLE,78.00,3,Established in 2022 (3 years); Cooperative status.,3,"2024 Revenue: KES 300,000.00; Accounting system: None.",5,B2B Sales: 70.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with other priority value chain.,5,Woman-owned enterprise,,
7,Bomet_AS54,MATARMAT TESTAI GROUP,ELIGIBLE,76.00,5,Established in 2013 (12 years); MSME Association status.,5,"2024 Revenue: KES 1,080,000.00; Accounting system: None.",2,B2B Sales: 0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Dairy priority value chain.,5,Woman-owned enterprise,,
8,Bomet_RJ7S,SIRCHARD YOUTH GROUP,ELIGIBLE,71.00,4,Established in 2018 (7 years); MSME Association status.,2,"2024 Revenue: KES 4,000.00; Accounting system: None.",4,B2B Sales: 30.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Dairy priority value chain.,5,Woman-owned enterprise,,
9,Bomet_UXSB,kipsigis Highlands Multipurpose Co-operative Society Ltd,ELIGIBLE,68.00,5,Established in 2010 (15 years); Cooperative status.,5,"2024 Revenue: KES 543,600,000.00; Accounting system: Sage.",4,B2B Sales: 30.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Tea priority value chain.,1,Limited evidence of inclusivity profile.,,
10,Bomet_TRFT,KAPKAP OUTGROWERS CO-OPERATIVE SOCIETY LIMITED,ELIGIBLE,60.00,5,Established in 2010 (15 years); Cooperative status.,5,"2024 Revenue: KES 653,553.00; Accounting system: QuickBooks.",2,B2B Sales: 0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Tea priority value chain.,1,Limited evidence of inclusivity profile.,,
11,Bomet_6MBX,KIMBILIO DAIMA SAVINGS AND CO-OPERATIVE SOCIETY LIMITED,ELIGIBLE,60.00,5,Established in 1993 (32 years); Cooperative status.,5,"2024 Revenue: KES 129,915,747.00; Accounting system: None.",2,B2B Sales: 0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Tea priority value chain.,1,Limited evidence of inclusivity profile.,,
12,Bomet_G9QK,KIPSONOI DAIRY PRODUCT COOPERATIVE SOCIETY LTD,ELIGIBLE,59.00,4,Established in 2016 (9 years); Cooperative status.,5,"2024 Revenue: KES 28,181,331.97; Accounting system: QuickBooks.",2,B2B Sales: 0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Dairy priority value chain.,1,Limited evidence of inclusivity profile.,,
13,Bomet_MQKO,Almacoat prime paints ltd,ELIGIBLE,51.00,4,Established in 2019 (6 years); Private Company status.,3,"2024 Revenue: KES 70,000.00; Accounting system: QuickBooks.",2,B2B Sales: 0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Construction priority value chain.,1,Limited evidence of inclusivity profile.,,
