Rank,Application ID,Applicant Name,Eligibility Status,Composite Score,S1_Registration_Track_Record_5% Score,S1_Registration_Track_Record_5% Reason,S2_Financial_Position_20% Score,S2_Financial_Position_20% Reason,S3_Market_Demand_Competitiveness_20% Score,S3_Market_Demand_Competitiveness_20% Reason,S4_Business_Proposal_Viability_25% Score,S4_Business_Proposal_Viability_25% Reason,S5_Value_Chain_Alignment_10% Score,S5_Value_Chain_Alignment_10% Reason,S6_Inclusivity_Sustainability_20% Score,S6_Inclusivity_Sustainability_20% Reason,Ineligibility Criterion Failed,Reason
1,Bungoma_OMWU,WATERMATT AFRICA CONSTRUCTION AND BUILDING COMPANY LIMITED,ELIGIBLE,78.50,5.0,Established in 2014 (11 years); Other status.,4.8,"2024 Revenue: KES 7,622,750.00; Accounting system: None.",5.0,B2B Sales: 50.0%; Market strategy reported.,3.5,Structured expansion plans provided,5.0,Aligned with Construction priority value chain.,1.7,Limited evidence of inclusivity profile.,,
2,Bungoma_VJBO,Shammah Agribiz Group Ltd,ELIGIBLE,76.50,5.0,Established in 2012 (13 years); Private Company status.,5.0,"2024 Revenue: KES 14,250,000.00; Accounting system: QuickBooks.",2.6,B2B Sales: 0.0%; Market strategy reported.,3.5,Structured expansion plans provided,5.0,Aligned with Edible Oils priority value chain.,3.4,Limited evidence of inclusivity profile.,,
3,Bungoma_ZHBI,KYO Sirisia Chapter Youth Group,ELIGIBLE,73.30,3.9,Established in 2022 (3 years); Other status.,2.7,"2024 Revenue: KES 320,000.00; Accounting system: QuickBooks.",4.4,B2B Sales: 30.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Dairy priority value chain.,3.5,Limited evidence of inclusivity profile.,,
4,Bungoma_MWKV,WONEP,ELIGIBLE,72.00,4.8,Established in 2017 (8 years); Other status.,2.3,"2024 Revenue: KES 245,000.00; Accounting system: None.",4.6,B2B Sales: 25.0%; Market strategy reported.,3.6,Structured expansion plans provided,3.8,Aligned with Coffee priority value chain.,3.5,Limited evidence of inclusivity profile.,,
5,Bungoma_NUXG,KHWESA SELF HELP GROUP,ELIGIBLE,68.00,4.8,Established in 2017 (8 years); Other status.,2.3,"2024 Revenue: KES 300,000.00; Accounting system: None.",4.6,B2B Sales: 25.0%; Market strategy reported.,3.6,Structured expansion plans provided,5.0,Aligned with Dairy priority value chain.,1.9,Limited evidence of inclusivity profile.,,
6,Bungoma_GAPD,Sifatwe self help group,ELIGIBLE,63.60,5.0,Established in 2015 (10 years); Other status.,2.3,"2024 Revenue: KES 100,000.00; Accounting system: None.",2.4,B2B Sales: 0.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Dairy priority value chain.,3.2,Limited evidence of inclusivity profile.,,
7,Bungoma_I1IV,CHEPTAIS B MAMA MBOGA COMMUNITY BASED ORGANIZATION,ELIGIBLE,63.40,1.8,Established in 2024 (1 years); Other status.,2.3,"2024 Revenue: KES 233,000.00; Accounting system: None.",2.6,B2B Sales: 0.0%; Market strategy reported.,3.6,Structured expansion plans provided,5.0,Aligned with Dairy priority value chain.,3.5,Limited evidence of inclusivity profile.,,
8,Bungoma_WULF,BUKEMBE GATEWAY YOUTH GROUP,ELIGIBLE,62.60,3.9,Established in 2022 (3 years); Other status.,3.2,"2024 Revenue: KES 500,000.00; Accounting system: QuickBooks.",2.6,B2B Sales: 0.0%; Market strategy reported.,3.5,Structured expansion plans provided,5.0,Aligned with Textiles priority value chain.,2.0,Limited evidence of inclusivity profile.,,
9,Bungoma_2YFL,CLUCKING QUEENS,ELIGIBLE,58.20,1.8,Established in 2025 (0 years); MSME Association status.,1.7,2024 Revenue: KES 0.00; Accounting system: QuickBooks.,2.6,B2B Sales: 0.0%; Market strategy reported.,3.6,Structured expansion plans provided,3.8,Aligned with other priority value chain.,3.4,Limited evidence of inclusivity profile.,,
10,Bungoma_L0CL,Eric enterprise,ELIGIBLE,52.40,1.8,Established in 2024 (1 years); MSME Association status.,2.3,"2024 Revenue: KES 25,000.00; Accounting system: None.",2.4,B2B Sales: 0.0%; Market strategy reported.,3.4,Structured expansion plans provided,3.8,Aligned with other priority value chain.,1.8,Limited evidence of inclusivity profile.,,
